actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.1850837618112564
0.30300432443618774,0.18631969392299652
0.3045041859149933,0.18753400444984436
0.30600404739379883,0.18876026570796967
0.30750390887260437,0.18999001383781433
0.3090038001537323,0.19121314585208893
0.15238399803638458,0.19004882872104645
0.15276455879211426,0.18886806070804596
0.15529286861419678,0.18769720196723938
0.15776026248931885,0.18654148280620575
0.1601690798997879,0.1853868067264557
0.15519747138023376,0.18418768048286438
0.1531791090965271,0.18298274278640747
0.1467219442129135,0.18176789581775665
0.13588865101337433,0.18049286305904388
0.12945690751075745,0.17920783162117004
0.11864502727985382,0.17785216867923737
0.10351292043924332,0.17642399668693542
0.0841178223490715,0.17487579584121704
0.06923216581344604,0.17325717210769653
0.05006934329867363,0.171517014503479
0.026684356853365898,0.16964158415794373
0.003488851711153984,0.16763411462306976
0.0,0.16552674770355225
0.0,0.16325846314430237
0.0,0.16080188751220703
0.0,0.15816138684749603
0.0,0.15537656843662262
0.0,0.15245267748832703
0.0,0.1493816077709198
0.0,0.14618492126464844
0.0,0.14288000762462616
0.0,0.13945215940475464
0.0,0.13589705526828766
0.0,0.1322840452194214
0.0,0.12479309737682343
0.0,0.12095500528812408
0.0,0.11702178418636322
0.0,0.1130431592464447
0.0,0.10904715210199356
0.0,0.10500086098909378
0.0,0.10093685984611511
0.0,0.09688788652420044
0.0,0.09281877428293228
0.0,0.08876225352287292
0.0,0.08471779525279999
0.0,0.08068275451660156
0.0,0.07665643841028214
0.0,0.07266981899738312
0.0,0.06878560781478882
0.0,0.06503161042928696
0.0,0.06143523380160332
0.0,0.057958174496889114
0.0,0.0545961931347847
0.0,0.05134432762861252
0.0,0.048198774456977844
0.0,0.04518761485815048
0.0,0.04227357357740402
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.11882700026035309
0.0,0.11777622252702713
0.00997406430542469,0.11687138676643372
0.022319070994853973,0.1160745769739151
0.043141577392816544,0.11544869095087051
0.05925390496850014,0.11495523899793625
0.075090691447258,0.11458845436573029
0.09938178211450577,0.1144118532538414
0.11894083023071289,0.11438143998384476
0.1294858455657959,0.1144358292222023
0.15294551849365234,0.11465780436992645
0.1629919409751892,0.11495523154735565
0.17725719511508942,0.1153535470366478
0.19132819771766663,0.1158510372042656
0.20085477828979492,0.1164105236530304
0.20590564608573914,0.11699971556663513
0.2109055519104004,0.117617167532444
0.22021591663360596,0.11829271912574768
0.2207016497850418,0.11896169930696487
0.22556547820568085,0.11965526640415192
0.2260282337665558,0.1203426867723465
0.22215233743190765,0.12098978459835052
0.21835651993751526,0.12159872055053711
0.20591920614242554,0.1221056655049324
0.20239366590976715,0.12257932871580124
0.1858556866645813,0.12292386591434479
0.17391927540302277,0.12317992001771927
0.1577950268983841,0.12330292910337448
0.13753558695316315,0.12328112870454788
0.11754992604255676,0.12311546504497528
0.09782540798187256,0.12280308455228806
0.07399089634418488,0.12232356518507004
0.04609508067369461,0.12164722383022308
0.018543172627687454,0.12078221887350082
3.7017241993453354e-05,0.1197955384850502
0.0,0.11846687644720078
0.0,0.11690351366996765
0.0,0.11508023738861084
0.0,0.11303654313087463
0.0,0.11090889573097229
0.0,0.10844003409147263
0.0,0.1058039516210556
0.0,0.1029709056019783
0.0,0.09994729608297348
0.0,0.09686751663684845
0.0,0.09347514808177948
0.0,0.0899074450135231
0.0,0.08620238304138184
0.0,0.08236344903707504
0.0,0.07842662185430527
0.0,0.07439175993204117
0.0,0.0702645480632782
