actual,proposed
-0.19796237349510193,-0.07444635778665543
-0.19525088369846344,-0.0742616280913353
-0.19321726262569427,-0.07375215739011765
-0.18482241034507751,-0.07344400137662888
-0.18221034109592438,-0.0706317350268364
-0.18025128543376923,-0.06996002048254013
-0.17829221487045288,-0.06948613375425339
-0.17502710223197937,-0.0689423456788063
-0.14439891278743744,-0.06783747673034668
-0.14330504834651947,-0.05607372894883156
-0.14057038724422455,-0.055709097534418106
-0.13947650790214539,-0.05468590930104256
-0.13783571124076843,-0.05427345633506775
-0.1481766253709793,-0.053622711449861526
-0.14698652923107147,-0.057615529745817184
-0.14639148116111755,-0.057115018367767334
-0.14579643309116364,-0.05683889985084534
-0.1446063369512558,-0.056547440588474274
-0.13512052595615387,-0.05602822080254555
-0.13456450402736664,-0.052292898297309875
-0.13456450402736664,-0.05202040076255798
-0.13512052595615387,-0.05197335034608841
-0.1356765478849411,-0.05215075984597206
-0.1373445987701416,-0.052353616803884506
-0.1592152863740921,-0.05299407243728638
-0.16178306937217712,-0.061467789113521576
-0.16370889544487,-0.06252185255289078
-0.16627667844295502,-0.06336624175310135
-0.1694863736629486,-0.0645076334476471
-0.17415045201778412,-0.06594806909561157
-0.17738714814186096,-0.06800783425569534
-0.18127115070819855,-0.06957526504993439
-0.18580244481563568,-0.07147268205881119
-0.19033372402191162,-0.07370568066835403
-0.22304661571979523,-0.07599972933530807
-0.23199686408042908,-0.08978267759084702
-0.2387094646692276,-0.09422998875379562
-0.24616777896881104,-0.09793456643819809
-0.25288015604019165,-0.10209681838750839
-0.2375815212726593,-0.10604512691497803
-0.2465582638978958,-0.1008647233247757
-0.25208231806755066,-0.10602757334709167
-0.25829681754112244,-0.10986737161874771
-0.26451119780540466,-0.11415755748748779
-0.26796358823776245,-0.11854055523872375
-0.2915705740451813,-0.12188976258039474
-0.29811280965805054,-0.13467198610305786
-0.30392804741859436,-0.13984426856040955
-0.30974313616752625,-0.14482559263706207
-0.31483128666877747,-0.1499343365430832
-0.30518847703933716,-0.1548137366771698
-0.3100423514842987,-0.15245039761066437
-0.31212255358695984,-0.15725542604923248
-0.31281596422195435,-0.16061443090438843
-0.3148961365222931,-0.16321000456809998
-0.3242836594581604,-0.166518896818161
-0.3249899446964264,-0.173782616853714
-0.3256962299346924,-0.17639543116092682
-0.3278150260448456,-0.17895130813121796
-0.3292275369167328,-0.18227694928646088
-0.3755992650985718,-0.1851889193058014
-0.37639978528022766,-0.21367986500263214
-0.3755992650985718,-0.216470405459404
-0.3747987449169159,-0.21822784841060638
-0.27781012654304504,-0.21986830234527588
-0.2512248754501343,-0.16442911326885223
-0.2501375377178192,-0.1499079167842865
-0.24905018508434296,-0.15039333701133728
